date,open,high,low,close,volume
2018-06-30,6383.19,6424.14,6315.0,6345.52,820.61460617
2018-07-01,6349.5,6351.0,6270.01,6304.55,643.08260558
2018-07-02,6304.55,6669.99,6270.01,6611.79,7184.66496822
2018-07-03,6502.62,6518.25,6411.51,6469.0,1325.27421461
2018-07-04,6587.46,6700.0,6508.72,6620.99,1345.96343792
2018-07-05,6621.0,6684.0,6449.5,6532.95,4944.82853304
2018-07-06,6599.99,6614.53,6557.5,6599.01,1019.40351204
2018-07-07,6599.02,6843.26,6512.0,6753.28,2927.64021456
2018-07-08,6701.97,6721.94,6685.0,6700.26,549.86991742
2018-07-09,6664.01,6679.47,6620.83,6641.39,986.4798908
2018-07-10,6303.69,6400.0,6282.77,6345.25,1301.84396381
2018-07-11,6390.04,6390.04,6310.0,6333.01,2517.7266209
2018-07-12,6246.68,6284.0,6223.0,6243.54,1260.59207683
2018-07-13,6216.29,6277.5,6204.69,6219.99,712.63188478
2018-07-14,6220.0,6323.68,6187.0,6248.65,2243.13352403
2018-07-15,6348.73,6380.59,6330.3,6350.0,698.86904091
2018-07-16,6728.8,6753.85,6696.64,6711.56,1668.43435382
2018-07-17,7315.0,7545.0,7311.38,7438.02,3394.32278293
2018-07-18,7438.01,7584.85,7229.89,7378.99,11738.63444604
2018-07-19,7470.01,7475.16,7378.84,7441.31,1399.66386605
2018-07-20,7441.31,7687.0,7259.76,7334.46,8196.39401553
2018-07-21,7408.0,7475.01,7340.0,7394.62,1184.03825349
2018-07-22,7400.0,7700.0,7378.26,7665.01,2798.815938
2018-07-23,7720.08,7860.0,7695.99,7849.99,2555.51881805
2018-07-24,7850.0,8488.0,7849.99,8385.5,16324.28168572
2018-07-25,8157.15,8240.98,8157.15,8220.0,1392.5096385
2018-07-26,7932.0,7939.8,7852.1,7930.01,1699.8111542
2018-07-27,8182.64,8211.0,8153.01,8210.0,987.94991404
2018-07-28,8227.38,8289.96,8185.01,8192.09,1297.98801715
2018-07-29,8216.33,8274.92,8080.0,8175.0,1913.51693684
2018-07-30,8170.0,8173.57,8077.0,8113.67,1227.73301806
2018-07-31,7727.28,7750.0,7504.0,7529.4,3782.29095617
2018-08-01,7603.99,7707.54,7593.24,7627.41,1713.64660596
2018-08-02,7533.92,7533.92,7285.0,7359.98,3326.93733799
2018-08-03,7414.08,7495.0,7391.0,7468.84,975.17278493
2018-08-04,7468.84,7475.65,6940.0,7005.0,8112.58902951
2018-08-05,7030.0,7163.0,7025.01,7080.0,2032.293716
2018-08-06,6938.0,6990.0,6904.31,6950.92,1197.80325439
2018-08-07,6718.22,6718.22,6463.0,6497.99,4491.0877576
2018-08-08,6282.5,6355.0,6269.03,6355.0,2036.61573804
2018-08-09,6355.0,6633.21,6177.51,6546.45,11689.90897359
2018-08-10,6146.01,6168.52,6080.03,6106.28,2016.3468209
2018-08-11,6236.0,6314.9,6169.46,6264.99,1705.34306191
2018-08-12,6316.0,6383.39,6307.22,6338.22,1086.289653
2018-08-13,6253.67,6258.32,5900.0,6018.43,7018.85192994
2018-08-14,6195.0,6383.0,6189.0,6330.0,3479.51916773
2018-08-15,6330.0,6636.0,6235.03,6269.01,13145.9174338
2018-08-16,6315.9,6528.22,6290.39,6470.02,2058.16522064
2018-08-17,6470.01,6585.5,6408.16,6585.49,8460.58824857
2018-08-18,6396.63,6396.63,6328.45,6375.0,857.62899893
2018-08-19,6489.53,6525.0,6452.61,6461.11,975.33533458
2018-08-20,6258.74,6345.56,6249.12,6300.54,1331.26583568
2018-08-21,6475.89,6890.65,6441.0,6719.9,5996.68445748
2018-08-22,6359.99,6434.94,6348.69,6398.0,1486.211809
2018-08-23,6526.36,6535.99,6471.7,6503.0,855.86651504
2018-08-24,6690.88,6790.0,6690.88,6740.44,1886.08907618
2018-08-25,6740.44,6770.0,6668.0,6737.52,3025.69596107
2018-08-26,6709.98,6711.94,6654.13,6702.0,992.8963642
2018-08-27,6911.9,6947.0,6864.96,6898.08,2267.55368383
2018-08-28,6898.08,7128.0,6898.07,7071.01,9205.90852179
2018-08-29,7030.92,7048.66,6960.8,7015.0,1154.81007136
2018-08-30,6983.0,7019.76,6929.24,7002.43,1136.43276481
2018-08-31,7015.01,7065.5,7010.98,7045.51,897.5464991
2018-09-01,7191.07,7224.99,7130.0,7201.3,1186.88422823
2018-09-02,7294.99,7324.64,7192.99,7205.0,1510.15803399
2018-09-03,7256.48,7285.0,7229.94,7250.77,1093.83612919
2018-09-04,7359.99,7384.0,7350.0,7353.0,985.21614698
2018-09-05,6687.96,6703.73,6272.73,6429.94,7736.88104713
2018-09-06,6429.95,6530.0,6286.5,6495.0,9576.37943429
2018-09-07,6395.01,6444.65,6395.01,6422.66,830.92821483
2018-09-08,6422.66,6460.0,6116.0,6188.0,5821.90005798
2018-09-09,6235.02,6375.13,6235.0,6277.12,1531.49981693
2018-09-10,6300.0,6405.0,6286.33,6322.01,1820.33977327
2018-09-11,6322.01,6338.47,6176.76,6282.53,5554.21770733
2018-09-12,6326.0,6434.0,6323.64,6388.39,2211.90572094
2018-09-13,6485.99,6579.0,6456.0,6539.99,1784.68101099
2018-09-14,6540.0,6580.0,6378.05,6478.04,5748.83019922
2018-09-15,6518.68,6521.75,6324.9,6449.55,1392.09353464
2018-09-16,6498.0,6529.75,6465.0,6472.05,1262.91545235
2018-09-17,6250.71,6260.52,6228.0,6260.51,985.20816073
2018-09-18,6260.51,6384.04,6235.36,6335.7,5108.99750441
2018-09-19,6386.95,6417.54,6381.91,6387.93,823.47191258
2018-09-20,6493.11,6575.0,6492.5,6536.72,1940.1383308
2018-09-21,6536.73,6777.1,6516.6,6750.0,9169.9985422
2018-09-22,6740.0,6745.97,6628.01,6707.33,3252.68169195
2018-09-23,6696.99,6716.16,6684.78,6696.61,589.5491222
2018-09-24,6582.09,6582.1,6388.88,6456.51,2736.04427695
2018-09-25,6456.51,6464.27,6320.5,6436.89,6208.79426628
2018-09-26,6455.65,6510.0,6455.65,6472.0,1093.69044226
2018-09-27,6680.01,6724.42,6679.34,6700.01,1467.14125194
2018-09-28,6620.01,6620.01,6452.02,6492.13,1410.85285904
2018-09-29,6581.0,6587.0,6545.0,6546.95,574.17914989
2018-09-30,6605.0,6639.33,6601.0,6607.01,940.81812165
2018-10-01,6607.01,6610.0,6475.0,6572.83,6493.21839041
2018-10-02,6498.47,6507.95,6398.96,6423.75,1912.83697381
2018-10-03,6466.03,6603.01,6454.38,6564.63,2279.55988025
2018-10-04,6547.45,6582.0,6510.58,6537.53,1123.03955004
2018-10-05,6593.94,6594.39,6552.0,6570.43,813.7595681
